TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float	float	float	float	float	boolean
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal	gTotalProbeSignal	gTotalProbeError	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DATA	78	1	78	0	0	A_54_P1123	mmu-miR-181a	2294.06	225.531	1.233761e+002	1.289241e+001	184	21	7.083995e+000	0	0	0	1	0	0	123.376	1	1	44.0646	22.2	159.182	16.1369	193.009	16.6586	1
DATA	79	1	79	0	0	A_54_P2590	mmu-miR-135b	2319.35	226	1.730736e+000	3.745315e+000	58	22	7.041847e+000	0	0	0	0	0	0	1.73074	0	0	46.5243	22.8697	1.9724	2.38559	3.72887	3.37026	0
DATA	80	1	80	66	1	DarkCorner	DarkCorner	2345.19	226	4.002910e+000	3.762667e+000	59	22	7.050080e+000	0	0	0	0	0	0	4.00291	1	0	45.4864	22.6698	4.75469	6.19842	4.75469	6.19842	0
DATA	81	1	81	0	1	SCorner3	SCorner3	2370.39	226.063	1.517374e+000	3.744389e+000	59	22	7.228507e+000	0	0	0	0	0	0	1.51737	0	0	44.7812	22.8395	-0.538871	1.18603	-0.538871	1.18603	0
DATA	82	1	82	0	1	miRNABrightCorner30	miRNABrightCorner30	2395.78	226.188	2.939755e+002	2.963467e+001	349	21	6.496109e+000	0	0	0	0	0	0	293.976	1	1	45.1352	21.4253	198.623	20.1593	198.623	20.1593	1
DATA	83	2	1	0	1	SCorner3	SCorner3	351.147	232.24	5.407194e-001	3.741704e+000	54.5	21.5	6.929732e+000	0	0	0	0	0	0	0.540719	0	0	47.8731	22.3407	-0.538871	1.18603	-0.538871	1.18603	0
DATA	84	2	2	66	1	DarkCorner	DarkCorner	376.788	232.303	5.579087e+000	3.782683e+000	63	24	6.889267e+000	0	0	0	0	0	0	5.57909	1	0	45.4864	23.8252	4.75469	6.19842	4.75469	6.19842	0
DATA	85	2	3	0	0	A_54_P2287	mmu-miR-127	402.118	232.059	1.349409e+001	3.977227e+000	69	24	7.401176e+000	0	0	0	0	0	0	13.4941	1	0	46.8651	24.7308	13.1574	2.72097	91.5035	8.63215	1
DATA	86	2	4	0	0	A_54_P1996	mmu-miR-693-5p	427.754	232.101	6.329237e+000	3.794472e+000	63.5	24	6.844237e+000	0	0	0	0	0	0	6.32924	1	0	46.5243	23.7778	0.614468	1.19084	-0.116166	2.37445	0
DATA	88	2	6	0	0	A_54_P3331	mmu-miR-183*	478.591	232.212	-5.459662e+000	3.741314e+000	51	23	7.576193e+000	0	0	0	0	0	0	-5.45966	0	0	45.835	23.3775	-1.91362	1.18581	-6.60203	2.37181	0
DATA	89	2	7	0	0	A_54_P3346	mmu-miR-193*	503.781	231.969	1.180922e+000	3.743177e+000	57	24	7.269839e+000	0	0	0	0	0	0	1.18092	0	0	45.4864	23.8796	-0.691698	1.18593	-2.13801	2.37225	0
DATA	90	2	8	0	0	A_54_P3074	mmu-miR-327	529.492	231.984	-3.725880e+000	3.741314e+000	52.5	23	7.431141e+000	0	0	0	0	0	0	-3.72588	0	0	43.7019	23.6226	-0.978178	1.18581	-3.69023	2.37522	0
DATA	91	2	9	0	0	A_54_P4409	mmu-miR-497	554.69	232.028	2.210712e+003	2.211029e+002	2284	22	6.559682e+000	0	0	0	1	0	0	2210.71	1	1	47.2035	22.7178	1793.91	179.473	2200.64	184.056	1
DATA	92	2	10	0	0	A_54_P1837	mmu-miR-770-3p	579.5	232	-6.080353e+000	3.741314e+000	48	22	7.648719e+000	0	0	0	0	0	0	-6.08035	0	0	54.1152	23.1843	-2.24833	1.18581	-3.34846	2.37941	0
DATA	93	2	11	0	0	A_54_P2805	mmu-miR-543	605.547	232.016	3.735498e-001	3.741500e+000	57	22	7.064402e+000	0	0	0	0	0	0	0.37355	0	0	44.0646	23.3062	0.47332	2.37408	3.89766	3.37405	0
